wall_clock,x,y,z
14:50:26,4.151,1.129,0.751
14:50:26,4.148,1.130,0.752
14:50:27,4.145,1.131,0.751
14:50:27,4.144,1.133,0.751
14:50:28,4.147,1.135,0.747
14:50:28,4.154,1.136,0.742
14:50:29,4.161,1.136,0.738
14:50:29,4.166,1.138,0.734
14:50:30,4.170,1.143,0.730
14:50:30,4.170,1.147,0.724
14:50:31,4.167,1.151,0.719
14:50:31,4.165,1.154,0.716
14:50:32,4.165,1.157,0.716
14:50:33,4.166,1.156,0.716
14:50:33,4.171,1.153,0.715
14:50:34,4.179,1.146,0.713
14:50:34,4.187,1.137,0.710
14:50:35,4.194,1.128,0.710
14:50:35,4.197,1.119,0.711
14:50:36,4.198,1.110,0.711
14:50:36,4.201,1.100,0.714
14:50:37,4.206,1.090,0.714
14:50:37,4.214,1.079,0.711
14:50:38,4.222,1.073,0.712
14:50:38,4.230,1.070,0.716
14:50:39,4.236,1.067,0.721
14:50:39,4.239,1.068,0.719
14:50:40,4.239,1.072,0.714
14:50:40,4.237,1.077,0.709
14:50:41,4.236,1.079,0.707
14:50:41,4.238,1.079,0.708
14:50:42,4.242,1.078,0.710
14:50:42,4.243,1.073,0.711
14:50:43,4.240,1.068,0.710
14:50:43,4.235,1.065,0.710
14:50:44,4.230,1.062,0.708
14:50:44,4.230,1.057,0.705
14:50:45,4.233,1.054,0.704
14:50:45,4.235,1.055,0.706
14:50:46,4.238,1.057,0.708
14:50:46,4.242,1.060,0.704
14:50:47,4.245,1.062,0.695
14:50:47,4.248,1.063,0.685
14:50:48,4.250,1.065,0.677
14:50:48,4.252,1.068,0.673
14:50:49,4.253,1.070,0.673
14:50:49,4.251,1.068,0.676
14:50:50,4.248,1.067,0.676
14:50:50,4.242,1.069,0.673
14:50:51,4.233,1.072,0.668
14:50:51,4.224,1.071,0.664
14:50:52,4.221,1.070,0.668
14:50:52,4.220,1.069,0.675
14:50:53,4.218,1.071,0.679
14:50:53,4.213,1.076,0.679
14:50:54,4.210,1.082,0.680
14:50:54,4.209,1.086,0.679
14:50:55,4.210,1.090,0.680
14:50:55,4.214,1.093,0.685
14:50:56,4.221,1.094,0.693
14:50:56,4.226,1.095,0.702
14:50:57,4.224,1.095,0.706
14:50:57,4.217,1.092,0.706
14:50:58,4.212,1.089,0.703
14:50:58,4.211,1.088,0.699
14:50:59,4.210,1.089,0.695
14:50:59,4.207,1.093,0.694
14:51:00,4.203,1.096,0.695
14:51:00,4.197,1.099,0.700
14:51:01,4.190,1.101,0.708
14:51:02,4.184,1.103,0.713
14:51:02,4.182,1.103,0.715
14:51:03,4.179,1.106,0.718
14:51:03,4.176,1.111,0.721
14:51:04,4.173,1.116,0.722
14:51:04,4.171,1.118,0.722
14:51:05,4.170,1.117,0.720
14:51:05,4.172,1.115,0.717
14:51:06,4.172,1.113,0.717
14:51:06,4.170,1.115,0.720
14:51:07,4.170,1.119,0.721
14:51:07,4.167,1.124,0.718
14:51:08,4.162,1.129,0.714
14:51:08,4.157,1.134,0.707
14:51:09,4.154,1.137,0.701
14:51:09,4.151,1.138,0.695
14:51:10,4.150,1.138,0.691
14:51:10,4.152,1.138,0.686
14:51:11,4.154,1.139,0.684
14:51:11,4.158,1.140,0.683
14:51:12,4.159,1.140,0.684
14:51:12,4.161,1.137,0.684
14:51:13,4.161,1.133,0.682
14:51:13,4.157,1.129,0.682
14:51:14,4.154,1.127,0.684
14:51:14,4.151,1.126,0.684
14:51:15,4.146,1.123,0.683
14:51:15,4.140,1.120,0.683
